Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
time_of_diagnosis,When were you diagnosed with diabetes?,When where you diagnosed?,"Since, I was 8.","For the acute situation, it is not necessary to know how long the patient has had diabetes.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,diabetes_type,diabetes,diabetes_diagnosis_time,Wann wurde bei Ihnen Diabetes diagnostiziert?,Wann wo hast du diagnostiziert?,Da war ich 8.,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Arztdiagnose. Darüber hinaus ist es wichtig, das Fachwissen des Patienten einzubeziehen.",#VALUE!,När diagnostiserades du med diabetes?,När var du diagnostiserat?,Sedan var jag 8.,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos. Dessutom är det viktigt att inkludera patientens expertis.,#VALUE!,Kada jums buvo diagnozuotas diabetas?,Kada kur diagnozavote?,Nuo tada man buvo 8.,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę. Be to, svarbu įtraukti paciento kompetenciją.",#VALUE!,Kad jums tika diagnosticēts diabēts?,Kad kur jūs diagnosticējāt?,Kopš tā laika man bija 8 gadi.,"Tas ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi. Turklāt ir svarīgi iekļaut pacienta zināšanas.",#VALUE!
diabetes_education,Have you ever been instructed how to handle your diabetes?,Have you been instructed?,"Yes, at the Diabetes School.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind5,,diabetes,,"Wurden Sie jemals angewiesen, wie Sie mit Ihrem Diabetes umgehen können?",Wurden Sie angewiesen?,"Ja, in der Diabetes School.","Für die akute Situation ist es nicht notwendig zu wissen, wie lange der Patient Diabetes hatte.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du någonsin fått instruktioner om hur du hanterar din diabetes?,Har du fått instruktioner?,"Ja, på diabetesskolan.",För den akuta situationen är det inte nödvändigt att veta hur länge patienten har haft diabetes.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Ar jums kada nors buvo nurodyta, kaip susitvarkyti su diabetu?",Ar tau buvo liepta?,"Taip, diabeto mokykloje.","Dėl ūmios situacijos nebūtina žinoti, kiek laiko pacientas serga cukriniu diabetu.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.","Vai jums kādreiz ir norādīts, kā rīkoties ar savu diabētu?",Vai jums ir norādīts?,"Jā, diabēta skolā.","Akūtā situācijā nav jāzina, cik ilgi pacientam ir bijis diabēts.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
pump_usage,Do you use insulin pump?,Do you use insulin pump?,I do.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,insulin,,Verwenden Sie Insulinpumpe?,Verwenden Sie Insulinpumpe?,Ich mache.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Använder du insulinpump?,Använder du insulinpump?,Jag gör.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar naudojate insulino siurblį?,Ar naudojate insulino siurblį?,Aš darau.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai jūs izmantojat insulīna sūkni?,Vai jūs izmantojat insulīna sūkni?,Jā.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
pump_brand,What  is the brand of pump?,Brand of pump?,Dana-i,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,pump_usage,insulin,pump_brand,Was ist die Marke der Pumpe?,Pumpenmarke?,Dana-i,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vad är pumpmärket?,Pumpmärke?,Dana-i,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Koks yra siurblio prekės ženklas?,Prekės ženklas siurblys?,Dana-i,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Kāds ir sūkņa zīmols?,Sūkņa zīmols?,Dana-i,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
pump_usage_time,How long have you had your insulin pump?,How long have you had a pump?,A few years.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind6,pump_usage,insulin,,Wie lange haben Sie Ihre Insulinpumpe schon?,Wie lange hast du schon eine Pumpe?,Ein paar Jahren.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur länge har du haft din insulinpump?,Hur länge har du haft en pump?,Några år.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kiek laiko turite savo insulino pompą?,Kiek laiko turite siurblį?,Keli metai.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Cik ilgi jums ir bijis insulīna sūknis?,Cik ilgi jums ir bijis sūknis?,Dažus gadus.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
pump_problems,Have you ever had problems with the insulin pump?,Any problems with the pump?,"No, it's really good thing.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,pump_usage,insulin,,Haben Sie jemals Probleme mit der Insulinpumpe gehabt?,Irgendwelche Probleme mit der Pumpe?,"Nein, es ist wirklich gut.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du någonsin haft problem med insulinpumpen?,Några problem med pumpen?,"Nej, det är riktigt bra.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar jūs kada nors turėjote problemų dėl insulino siurblio?,Ar yra kokių nors siurblio problemų?,"Ne, tai tikrai geras dalykas.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai jums kādreiz ir bijušas problēmas ar insulīna sūkni?,Vai ir kādas problēmas ar sūkni?,"Nē, tā ir patiešām laba lieta.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
insulin_dosage,How is your insulin dosage calculated?,How is dosage calculated?,Eh...I do it as my doctor told me. I can't say exactly.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,insulin,dosage_unknown,Wie wird Ihre Insulin -Dosierung berechnet?,Wie wird die Dosierung berechnet?,"Eh ... ich mache es, wie mein Arzt mir sagte. Ich kann nicht genau sagen.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur beräknas din insulindos?,Hur beräknas dosering?,Eh ... Jag gör det som min läkare sa till mig. Jag kan inte säga exakt.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip apskaičiuojama jūsų insulino dozė?,Kaip apskaičiuojama dozė?,Eh ... Aš tai darau kaip mano gydytojas. Negaliu tiksliai pasakyti.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Kā tiek aprēķināta jūsu insulīna deva?,Kā tiek aprēķināta deva?,"Eh ... es to daru tā, kā man teica ārsts. Es nevaru precīzi pateikt.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
medicines,What medicines have you taken? ,What medicines?,Insulin. Same dose as usual.,,,0,NeutralLegBehind7,,diabetes,,Welche Medikamente haben Sie eingenommen?,Welche Medikamente?,Insulin. Gleiche Dosis wie gewohnt.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vilka läkemedel har du tagit?,Vilka läkemedel?,Insulin. Samma dos som vanligt.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kokių vaistų vartojote?,Kokie vaistai?,Insulinas. Tokia pati dozė kaip įprasta.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Kādas zāles esat lietojis?,Kādas zāles?,Insulīns. Tā pati deva kā parasti.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
glucose_monitor,Do you test your blood sugar or have a glucose monitor?,Do you test your lbood sugar?,"Yeah, I do tests.",,,0,NeutralThinking,,diabetes,,Testen Sie Ihren Blutzucker oder haben Sie einen Glukosemonitor?,Testen Sie Ihren LBOOD -Zucker?,"Ja, ich testet.",#VALUE!,#VALUE!,Testar du ditt blodsocker eller har du en glukosmonitor?,Testar du ditt lboodsocker?,"Ja, jag gör tester.",#VALUE!,#VALUE!,"Ar išbandote cukraus kiekį kraujyje, ar turite gliukozės monitorių?",Ar išbandote savo LBOOD cukrų?,"Taip, aš darau testus.",#VALUE!,#VALUE!,Vai jūs pārbaudāt cukura līmeni asinīs vai jums ir glikozes monitors?,Vai jūs pārbaudāt savu lbood cukuru?,"Jā, es veicu testus.",#VALUE!,#VALUE!
urine_test,Do you test your urine?,Do you test your urine?,"I do, for ketones...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diabetes,tests_urine,Testen Sie Ihren Urin?,Testen Sie Ihren Urin?,Ich tue es für Ketone ...,#VALUE!,#VALUE!,Testar du urinen?,Testar du urinen?,Det gör jag för ketoner ...,#VALUE!,#VALUE!,Ar išbandote savo šlapimą?,Ar išbandote savo šlapimą?,Aš darau ketonus ...,#VALUE!,#VALUE!,Vai jūs pārbaudāt savu urīnu?,Vai jūs pārbaudāt savu urīnu?,"Es daru, par ketoniem ...",#VALUE!,#VALUE!
urine_test_frequency,How often do you test it?,How often?,"Twice a day, usually...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind8,,diabetes,urine_test_frequency,Wie oft testen Sie es?,Wie oft?,"Zweimal am Tag, normalerweise ...","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur ofta testar du det?,Hur ofta?,"Två gånger om dagen, vanligtvis ...",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip dažnai tai išbandote?,Kaip daznai?,"Du kartus per dieną, paprastai ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Cik bieži jūs to pārbaudāt?,Cik bieži?,"Divreiz dienā, parasti ...","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
medical_complications,Do you have any complications of diabetes or other medical conditions?,Any complications?,"Yes, as many. I have blood pressure problems...",,,0,NeutralThinking,,diabetes,,Haben Sie Komplikationen von Diabetes oder anderen Erkrankungen?,Irgendwelche Komplikationen?,"Ja, wie viele. Ich habe Blutdruckprobleme ...","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du några komplikationer av diabetes eller andra medicinska tillstånd?,Några komplikationer?,"Ja, så många. Jag har blodtrycksproblem ...",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar turite kokių nors diabeto ar kitų sveikatos sutrikimų komplikacijų?,Bet kokios komplikacijos?,"Taip, tiek daug. Turiu kraujospūdžio problemų ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai jums ir kādas diabēta vai citu medicīnisko stāvokļu komplikācijas?,Vai ir kādas komplikācijas?,"Jā, tikpat daudz. Man ir asinsspiediena problēmas ...","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
other_problems,"Do you have any other problems? Perhaps, eye or dental problems, numbness/pain? How is your heart? Kidney? What about your sexual life?",Other problems?,"Yeah, I feel no well in a stomach. Up here.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diabetes,stomach_pain,"Hast du noch andere Probleme? Vielleicht Augen- oder Zahnprobleme, Taubheit/Schmerz? Wie ist dein Herz? Niere? Was ist mit deinem sexuellen Leben?",Andere Probleme?,"Ja, ich fühle mich nicht gut im Magen. Hier oben.",#VALUE!,#VALUE!,"Har du några andra problem? Kanske, ögon- eller tandproblem, domningar/smärta? Hur är ditt hjärta? Njure? Vad sägs om ditt sexuella liv?",Andra problem?,"Ja, jag känner mig inte bra i magen. Här uppe.",#VALUE!,#VALUE!,"Ar turite kitų problemų? Galbūt, akių ar dantų problemos, tirpimas/skausmas? Kaip tavo širdis? Inkstas? O tavo seksualinis gyvenimas?",Kitos problemos?,"Taip, skrandyje nejaučiu gerai. Čia viršuje.",#VALUE!,#VALUE!,"Vai jums ir kādas citas problēmas? Varbūt acu vai zobu problēmas, nejutīgums/sāpes? Kā iet tavai sirdij? Nieres? Kā ar tavu seksuālo dzīvi?",Citas problēmas?,"Jā, es nejūtos labi vēderā. Augšā šeit.",#VALUE!,#VALUE!
family_history,Is diabetes common in your family?,Family history?,"No, none of my family.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind9,,diabetes,,Ist Diabetes in Ihrer Familie üblich?,Familiengeschichte?,"Nein, nichts von meiner Familie.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Är diabetes vanligt i din familj?,Familjehistoria?,"Nej, ingen av min familj.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar diabetas būdingas jūsų šeimoje?,Šeimos istorija?,"Ne, nė viena mano šeima.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai diabēts ir izplatīts jūsu ģimenē?,Ģimenes vēsture?,"Nē, neviena no manām ģimenēm.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
weight_change,Has your weight changed in the past years?,Weight change?,I became thiner.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diet,,Hat sich Ihr Gewicht in den letzten Jahren verändert?,Gewichtsänderung?,Ich wurde dünner.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har din vikt förändrats under de senaste åren?,Viktförändring?,Jag blev tunnare.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar jūsų svoris pasikeitė per pastaruosius metus?,Svorio pokytis?,Aš tapau plonesnis.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Vai pēdējos gados jūsu svars ir mainījies?,Svara maiņa?,Es kļuvu par Tineru.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
breakfast,What did you have for breakfast today?,Breakfast,I  had a porridge.,"To be able to assess the current situation well, it is important to know what the patient had for breakfast. ","To be able to assess the current situation well, it is important to know what the patient had for breakfast.Please do not forget to ask about it. This will help to speed up the diagnosis.",0,NeutralLegBehind,,diet,,Was hatten Sie heute zum Frühstück?,Frühstück,Ich hatte einen Brei.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vad hade du till frukost idag?,Frukost,Jag hade en gröt.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ką šiandien turėjote pusryčiams?,Pusryčiai,Aš turėjau košę.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad jūs to nepasirinkote.",Kas jums šodien bija brokastīs?,Brokastis,Man bija putra.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai intervijai medicīniskajā vēsturē. Ir labi, ka jūs to neizvēlējāties."
