Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,Relavance,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
diabetes_education,Have you ever been instructed how to handle your diabetes?,Have you been instructed?,I have.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind5,,diabetes,,0,"Wurden Sie jemals angewiesen, wie Sie mit Ihrem Diabetes umgehen können?",Wann wo hast du diagnostiziert?,Ich habe.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du någonsin fått instruktioner om hur du hanterar din diabetes?,Har du fått instruktioner?,Jag har.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Ar Jums kada nors buvo nurodyta, kaip susitvarkyti su diabetu?",Kada kur diagnozavote?,Aš turiu.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.","Vai jums kādreiz ir norādīts, kā rīkoties ar savu diabētu?",Vai Jūs esat apmācīts?,"Jā, esmu.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
pump_usage,Do you use insulin pump?,Do you use insulin pump?,"Yes, sure.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,insulin,,0,Verwenden Sie Insulinpumpe?,Wurden Sie angewiesen?,Ja sicher.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Använder du insulinpump?,Använder du insulinpump?,Ja visst.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar naudojate insulino pompą?,Ar buvote apmokyta?,"Taip, žinoma.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs izmantojat insulīna sūkni?,Vai Jūs izmantojat insulīna sūkni?,"Jā, protams.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
pump_brand,What is the brand of pump?,Brand of pump?,Accu-Chek Combo,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,pump_usage,insulin,,0,Was ist die Marke der Pumpe?,Verwenden Sie Insulinpumpe?,Accu-Chek Combo,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vad är pumpmärket?,Pumpmärke?,Accu-chek combo,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Koks yra pompos prekės ženklas?,Ar naudojate insulino pompą?,„Accu-Chek Combo“,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kāds ir sūkņa zīmols?,Kāds ir sūkņa zīmols?,Accu-Chek Combo,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
pump_usage_time,How long have you had your insulin pump?,How long have you had a pump?,For two years now...,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind6,pump_usage,insulin,,0,Wie lange haben Sie Ihre Insulinpumpe schon?,Pumpenmarke?,Seit zwei Jahren ...,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur länge har du haft din insulinpump?,Hur länge har du haft en pump?,I två år nu ...,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kiek laiko naudojate savo insulino pompą?,Pompos prekės ženklas?,Dabar dvejus metus ...,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Cik ilgi jums ir bijis jūsu insulīna sūknis?,Cik ilgi Jums ir insulīna sūknis?,Jau divus gadus ...,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
pump_problems,Have you ever had problems with the insulin pump?,Any problems with the pump?,"No, I was always very comfortable with it.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,pump_usage,insulin,,0,Haben Sie jemals Probleme mit der Insulinpumpe gehabt?,Wie lange hast du schon eine Pumpe?,"Nein, ich habe mich immer sehr wohl gefühlt.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du någonsin haft problem med insulinpumpen?,Några problem med pumpen?,"Nej, jag var alltid väldigt bekväm med det.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar Jūs kada nors turėjote problemų dėl insulino pompos?,Kiek laiko turite pompą?,"Ne, man visada buvo labai patogu.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jums kādreiz ir bijušas problēmas ar insulīna sūkni?,Jebkādas problēmas ar sūkni?,"Nē, man vienmēr bija ļoti ērti ar to.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
insulin_dosage,How is your insulin dosage calculated?,How is dosage calculated?,It does automatically. I don't know anything about that.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,insulin,,0,Wie wird Ihre Insulin -Dosierung berechnet?,Irgendwelche Probleme mit der Pumpe?,Es tut automatisch. Ich weiß nichts darüber.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur beräknas din insulindos?,Hur beräknas dosering?,Det gör automatiskt. Jag vet ingenting om det.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip apskaičiuojama Jūsų insulino dozė?,Ar yra kokių nors pompos problemų?,Dozė apskaičiuojama automatiškai. Aš nieko apie tai nežinau.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kā tiek aprēķināta jūsu insulīna deva?,Kā tiek aprēķināta deva?,Tas notiek automātiski. Es par to neko nezinu.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
medicines,What medicines have you taken?,What medicines?,Insulin. Same dose as usual.,,,0,NeutralLegBehind7,,diabetes,,1,Welche Medikamente haben Sie eingenommen?,Wie wird die Dosierung berechnet?,Insulin. Gleiche Dosis wie gewohnt.,#VALUE!,#VALUE!,Vilka läkemedel har du tagit?,Vilka läkemedel?,Insulin. Samma dos som vanligt.,#VALUE!,#VALUE!,Kokius vaistus vartojote?,Kaip apskaičiuojama dozė?,"Insulinas. Ta pati dozė, kaip įprasta.",#VALUE!,#VALUE!,Kādas zāles esat lietojis?,Kādus medikamentus?,Insulīns. Tā pati deva kā parasti.,#VALUE!,#VALUE!
glucose_monitor,Do you test your blood sugar or have a glucose monitor?,Do you test your blood sugar?,"Yes, I check it on a screen of the pump.",,,0,NeutralThinking,,diabetes,,1,Testen Sie Ihren Blutzucker oder haben Sie einen Glukosemonitor?,Welche Medikamente?,"Ja, ich überprüfe es auf einem Bildschirm der Pumpe.",#VALUE!,#VALUE!,Testar du ditt blodsocker eller har du en glukosmonitor?,Testar du ditt blodsocker?,"Ja, jag kontrollerar den på en skärm på pumpen.",#VALUE!,#VALUE!,"Ar matuojate cukraus kiekį kraujyje, ar turite gliukozės kiekio kraujyje monitorių?",Kokie vaistai?,"Taip, aš jį tikrinu pompos ekrane.",#VALUE!,#VALUE!,Vai jūs pārbaudāt cukura līmeni asinīs vai jums ir glikozes monitors?,Vai Jūs pārbaudāt cukura līemni asinīs?,"Jā, es to pārbaudu sūkņa ekrānā.",#VALUE!,#VALUE!
urine_test,Do you test your urine?,Do you test your urine?,"Ehh, no...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diabetes,,0,Testen Sie Ihren Urin?,Testen Sie Ihren LBOOD -Zucker?,"Ehh, nein ...","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Testar du urinen?,Testar du urinen?,"Ehh, nej ...",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar tiriate savo šlapimą?,Ar tiriate sukraus kiekį kraujyje?,"Ehh, ne ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs pārbaudāt savu urīnu?,Vai jūs pārbaudāt savu urīnu?,"Ehh, nē ...","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
medical_complications,Do you have any complications of diabetes or other medical conditions?,Any complications?,"Yes I have high blood pressure. I had a urinary tracts infection in the past. It seems, it's been back recently.",,,0,NeutralLegBehind8,,diabetes,,1,Haben Sie Komplikationen bei Diabetes oder anderen Erkrankungen?,Testen Sie Ihren Urin?,"Ja, ich habe hohen Blutdruck. Ich hatte in der Vergangenheit eine Harnwegsinfektion. Es scheint, dass es in letzter Zeit zurück war.",#VALUE!,#VALUE!,Har du några komplikationer av diabetes eller andra medicinska tillstånd?,Några komplikationer?,"Ja, jag har högt blodtryck. Jag hade en urinvägsinfektion tidigare. Det verkar som om det har varit tillbaka nyligen.",#VALUE!,#VALUE!,Ar turite kokių nors diabeto ar kitų sveikatos sutrikimų komplikacijų?,Ar tiriate savo šlapimą?,"Taip, aš turiu aukštą kraujospūdį. Anksčiau turėjau šlapimo takų infekciją. Atrodo, neseniai tai atsinaujino.",#VALUE!,#VALUE!,Vai jums ir kādas diabēta vai citu medicīnisku stāvokļu komplikācijas?,Vai ir kādas komplikācijas?,"Jā, man ir paaugstināts asinsspiediens. Iepriekš man bija urīnceļu infekcija. Liekas, ka tas bija nesen.",#VALUE!,#VALUE!
other_problems,"Do you have any other problems? Perhaps, eye or dental problems, numbness/pain? How is your heart? Kidney? What about your sexual life?",Other problems?,"Yes, I often have troubles in a toilet. Infections sometime...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diabetes,,0,"Hast du noch andere Probleme? Vielleicht Augen- oder Zahnprobleme, Taubheit/Schmerz? Wie ist dein Herz? Niere? Was ist mit deinem sexuellen Leben?",Irgendwelche Komplikationen?,"Ja, ich habe oft Probleme in einer Toilette. Infektionen irgendwann ...","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.","Har du några andra problem? Kanske, ögon- eller tandproblem, domningar/smärta? Hur är ditt hjärta? Njure? Vad sägs om ditt sexuella liv?",Andra problem?,"Ja, jag har ofta problem på en toalett. Infektioner någon gång ...",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Ar turite kitų problemų? Galbūt, akių ar dantų problemų, ar jaučiate tirpimą/skausmą? Kaip Jūsų širdis? Inkstas? O kaip Jūsų seksualinis gyvenimas?",Ar yra kokių nors komplikacijų?,"Taip, aš dažnai turiu rūpesčių tualete. Infekcijos kada nors ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.","Vai jums ir kādas citas problēmas? Varbūt acu vai zobu problēmas, nejutīgums/sāpes? Kā iet tavai sirdij? Nieres? Kā ar tavu seksuālo dzīvi?",Citas problēmas?,"Jā, bieži tualetē. Infekcijas kādreiz ...","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
family_history,Is diabetes common in your family?,Family history?,"Yes, my father has it. If I'm not wrong, my grandma had it too.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diabetes,,0,Ist Diabetes in Ihrer Familie üblich?,Irgendwelche Komplikationen?,"Ja, mein Vater hat es. Wenn ich mich nicht irre, hatte meine Oma es auch.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Är diabetes vanligt i din familj?,Familjehistoria?,"Ja, min far har det. Om jag inte har fel hade min mormor det också.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar kas nors Jūsų šeimoje serga diabetu?,Ar yra kokių nors komplikacijų?,"Taip, mano tėvas tuo serga. Jei neklįstu, mano močiutė taip pat sirgo.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai diabēts ir izplatīts jūsu ģimenē?,Ģimenes vēsture?,"Jā, manam tēvam ir. Ja es nekļūdos, arī manai vecmāmiņai tas bija.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
weight_change,Has your weight changed in the past years?,Weight change?,"Yeah, I gained weight after starting married life.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind9,,diet,,0,Hat sich Ihr Gewicht in den letzten Jahren verändert?,Andere Probleme?,"Ja, ich habe nach Beginn des Ehelebens zugenommen.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har din vikt förändrats under de senaste åren?,Viktförändring?,"Ja, jag tog upp vikt efter att ha börjat gifta livet.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar Jūsų svoris pasikeitė per pastaruosius metus?,Kitos problemos?,"Taip, po santuokos aš priaugau svorio.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai pēdējos gados jūsu svars ir mainījies?,Svara izmaiņas?,"Jā, tas palielinājās pēc laulībām.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
breakfast,What did you have for breakfast today?,Breakfast,A wholemeal bread with avocado cream and cheese. That's what my dietetics assistant recommended to me. I drank a huge cup of green tea.,"To be able to assess the current situation well, it is important to know what the patient had for breakfast. ","To be able to assess the current situation well, it is important to know what the patient had for breakfast.Please do not forget to ask about it. This will help to speed up the diagnosis.",0,NeutralThinking,,diet,,1,Was hatten Sie heute zum Frühstück?,Familiengeschichte?,Ein ganzes Brot mit Avocado -Sahne und Käse. Das hat mir mein Diätetikassistent empfohlen. Ich trank eine riesige Tasse grünen Tee.,"Um die aktuelle Situation gut zu beurteilen, ist es wichtig zu wissen, was der Patient zum Frühstück hatte.","Um die aktuelle Situation gut zu beurteilen, ist es wichtig zu wissen, was der Patient zum Frühstück hatte. Bitte vergessen Sie nicht, danach zu fragen. Dies wird dazu beitragen, die Diagnose zu beschleunigen.",Vad hade du till frukost idag?,Frukost,Ett helmemealt bröd med avokadokräm och ost. Det var vad min dietetikassistent rekommenderade mig. Jag drack en enorm kopp grönt te.,För att kunna bedöma den nuvarande situationen är det viktigt att veta vad patienten hade till frukost.,För att kunna bedöma den nuvarande situationen väl är det viktigt att veta vad patienten hade till frukost. Glöm inte att fråga om det. Detta hjälper till att påskynda diagnosen.,Ką šiandien valgėte pusryčiams?,Šeimos istorija?,Kilminės duona su avokado kremu ir sūriu. Štai ką man rekomendavo mano dietologijos asistentas. Aš išgėriau didžiulį puodelį žaliosios arbatos.,"Norint gerai įvertinti dabartinę situaciją, svarbu žinoti, ką pacientas turėjo pusryčiams.","Norint gerai įvertinti dabartinę situaciją, svarbu žinoti, ką pacientas turėjo pusryčiams. Nedėkokite apie tai paklausti. Tai padės pagreitinti diagnozę.",Kas jums šodien bija brokastīs?,Brokastis,Pilngraudu maize ar avokado sieru. To man ieteica uztura speciālists. Es dzēru milzīgu tasi zaļās tējas.,"Lai labi novērtētu pašreizējo situāciju, ir svarīgi zināt, kas pacientam bija brokastīs.","Lai varētu labi novērtēt pašreizējo situāciju, ir svarīgi zināt, kas pacientam bija brokastīs. Neaizmirstiet par to jautāt. Tas palīdzēs paātrināt diagnozi."
