Tag,EnglishText,EnglishShort,EnglishAnswer,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,GermanText,GermanShort,GermanAnswer,SwedishText,SwedishShort,SwedishAnswer,LithuanianText,LithuanianShort,LithuanianAnswer,LatvianText,LatvianShort,LatvianAnswer
diabetes_education,Have you ever been instructed how to handle your diabetes?,,"Yeah, I have.",0,diabetes,,diabetes,,"Wurden Sie jemals angewiesen, wie Sie mit Ihrem Diabetes umgehen können?",#VALUE!,Ja habe ich.,Har du någonsin fått instruktioner om hur du hanterar din diabetes?,#VALUE!,Ja jag har.,"Ar jums kada nors buvo nurodyta, kaip susitvarkyti su diabetu?",#VALUE!,"Taip, aš turiu.","Vai jums kādreiz ir norādīts, kā rīkoties ar savu diabētu?",#VALUE!,"Jā, man ir."
pump_usage,Do you use insulin pump?,,"No, I haven't.",0,insulin,,insulin,,Verwenden Sie Insulinpumpe?,#VALUE!,"Nein, habe ich nicht.",Använder du insulinpump?,#VALUE!,"Nej, det har jag inte.",Ar naudojate insulino siurblį?,#VALUE!,"Ne, aš ne.",Vai jūs izmantojat insulīna sūkni?,#VALUE!,"Nē, es neesmu."
insulin_dosage,How is your insulin dosage calculated?,,No idea...,0,insulin,,insulin,dosage_unknown,Wie wird Ihre Insulin -Dosierung berechnet?,#VALUE!,Keine Ahnung...,Hur beräknas din insulindos?,#VALUE!,Ingen aning...,Kaip apskaičiuojama jūsų insulino dozė?,#VALUE!,Neįsivaizduokite ...,Kā tiek aprēķināta jūsu insulīna deva?,#VALUE!,Nav ne jausmas...
medicines,What medicines have you taken? ,,Insulin. Same dose as usual.,0,diabetes,,diabetes,,Welche Medikamente haben Sie eingenommen?,#VALUE!,Insulin. Gleiche Dosis wie gewohnt.,Vilka läkemedel har du tagit?,#VALUE!,Insulin. Samma dos som vanligt.,Kokių vaistų vartojote?,#VALUE!,Insulinas. Tokia pati dozė kaip įprasta.,Kādas zāles esat lietojis?,#VALUE!,Insulīns. Tā pati deva kā parasti.
glucose_monitor,Do you test your blood sugar or have a glucose monitor?,,"I do, usualy. But today, I was so hungry that I forgot.",0,diabetes,,diabetes,,Testen Sie Ihren Blutzucker oder haben Sie einen Glukosemonitor?,#VALUE!,"Ich tue es üblich. Aber heute war ich so hungrig, dass ich es vergessen habe.",Testar du ditt blodsocker eller har du en glukosmonitor?,#VALUE!,"Jag gör det, vanligt. Men idag var jag så hungrig att jag glömde.","Ar išbandote cukraus kiekį kraujyje, ar turite gliukozės monitorių?",#VALUE!,"Aš darau, įprasta. Bet šiandien aš buvau toks alkanas, kad pamiršau.",Vai jūs pārbaudāt cukura līmeni asinīs vai jums ir glikozes monitors?,#VALUE!,"Es daru, parasts. Bet šodien es biju tik izsalcis, ka aizmirsu."
urine_test,Do you test your urine?,,It's not that easy to do it at home...,0,diabetes,,diabetes,does_not_test_urine,Testen Sie Ihren Urin?,#VALUE!,"Es ist nicht so einfach, es zu Hause zu tun ...",Testar du urinen?,#VALUE!,Det är inte så lätt att göra det hemma ...,Ar išbandote savo šlapimą?,#VALUE!,Tai padaryti nėra taip lengva padaryti namuose ...,Vai jūs pārbaudāt savu urīnu?,#VALUE!,Nav tik viegli to izdarīt mājās ...
medical_complications,Do you have any complications of diabetes or other medical conditions?,,I feel tired and sleepy all the time. ,0,diabetes,,diabetes,,Haben Sie Komplikationen von Diabetes oder anderen Erkrankungen?,#VALUE!,Ich fühle mich die ganze Zeit müde und schläfrig.,Har du några komplikationer av diabetes eller andra medicinska tillstånd?,#VALUE!,Jag känner mig trött och sömnig hela tiden.,Ar turite kokių nors diabeto ar kitų sveikatos sutrikimų komplikacijų?,#VALUE!,Visą laiką jaučiuosi pavargusi ir mieguista.,Vai jums ir kādas diabēta vai citu medicīnisko stāvokļu komplikācijas?,#VALUE!,Es visu laiku jūtos noguris un miegains.
other_problems,"Do you have any other problems? Perhaps, eye or dental problems, numbness/pain? How is your heart? Kidney? What about your sexual life?",,"No, except for the blood pressure.",0,diabetes,,diabetes,other_problems,"Hast du noch andere Probleme? Vielleicht Augen- oder Zahnprobleme, Taubheit/Schmerz? Wie ist dein Herz? Niere? Was ist mit deinem sexuellen Leben?",#VALUE!,"Nein, außer dem Blutdruck.","Har du några andra problem? Kanske, ögon- eller tandproblem, domningar/smärta? Hur är ditt hjärta? Njure? Vad sägs om ditt sexuella liv?",#VALUE!,"Nej, förutom blodtrycket.","Ar turite kitų problemų? Galbūt, akių ar dantų problemos, tirpimas/skausmas? Kaip tavo širdis? Inkstas? O tavo seksualinis gyvenimas?",#VALUE!,"Ne, išskyrus kraujospūdį.","Vai jums ir kādas citas problēmas? Varbūt acu vai zobu problēmas, nejutīgums/sāpes? Kā iet tavai sirdij? Nieres? Kā ar tavu seksuālo dzīvi?",#VALUE!,"Nē, izņemot asinsspiedienu."
family_history,Is diabetes common in your family?,,"No, I don't think so, but I'm not sure. Maybe my grandparents had it.",0,diabetes,,diabetes,,Ist Diabetes in Ihrer Familie üblich?,#VALUE!,"Nein, ich glaube nicht, aber ich bin mir nicht sicher. Vielleicht hatten meine Großeltern es.",Är diabetes vanligt i din familj?,#VALUE!,"Nej, jag tror inte det, men jag är inte säker. Kanske hade mina morföräldrar det.",Ar diabetas būdingas jūsų šeimoje?,#VALUE!,"Ne, aš taip nemanau, bet nesu tikras. Gal mano seneliai tai turėjo.",Vai diabēts ir izplatīts jūsu ģimenē?,#VALUE!,"Nē, es tā nedomāju, bet es neesmu pārliecināts. Varbūt maniem vecvecākiem tas bija."
weight_change,Has your weight changed in the past years?,,"No, nothing like that.",0,diet,,diet,,Hat sich Ihr Gewicht in den letzten Jahren verändert?,#VALUE!,"Nein, nichts dergleichen.",Har din vikt förändrats under de senaste åren?,#VALUE!,"Nej, inget liknande.",Ar jūsų svoris pasikeitė per pastaruosius metus?,#VALUE!,"Ne, nieko panašaus.",Vai pēdējos gados jūsu svars ir mainījies?,#VALUE!,"Nē, nekas tāds."
breakfast,What did you have for breakfast today?,,"I ate an almond porridge with an apple, as I do almost every day. I drank black coffee and a large glass of water. ",0,diet,,diet,,Was hatten Sie heute zum Frühstück?,#VALUE!,"Ich habe einen Mandelbrei mit einem Apfel gegessen, wie fast jeden Tag. Ich trank schwarzen Kaffee und ein großes Glas Wasser.",Vad hade du till frukost idag?,#VALUE!,"Jag åt en mandelgröt med ett äpple, som jag gör nästan varje dag. Jag drack svart kaffe och ett stort glas vatten.",Ką šiandien turėjote pusryčiams?,#VALUE!,"Aš valgiau migdolų košę su obuoliu, kaip aš darau beveik kiekvieną dieną. Aš gėriau juodą kavą ir didelę taurę vandens.",Kas jums šodien bija brokastīs?,#VALUE!,"Es ēdu mandeļu putru ar ābolu, kā es to daru gandrīz katru dienu. Es dzēru melnu kafiju un lielu glāzi ūdens."
nutritional_recommendations,Are you following any medical nutrition recommendations?,,"Yes, I follow the diet plan I got from the nutritionist. ",0,diet,,diet,,Befolgen Sie medizinische Ernährungsempfehlungen?,#VALUE!,"Ja, ich folge dem Diätplan, den ich vom Ernährungsberater erhalten habe.",Följer du några medicinska näringsrekommendationer?,#VALUE!,"Ja, jag följer dietplanen jag fick från näringsläkaren.",Ar laikote kokių nors medicininės mitybos rekomendacijų?,#VALUE!,"Taip, aš laikausi dietos plano, kurį gavau iš dietologo.",Vai jūs sekojat kādiem medicīniskiem uztura ieteikumiem?,#VALUE!,"Jā, es sekoju diētas plānam, ko saņēmu no dietologa."
diet_plan,What diet plan do you typically follow?,,"Less sugar, no junk food, more healthy dishes. ",0,diet,,diet,,Welchen Diätplan folgen Sie normalerweise?,#VALUE!,"Weniger Zucker, kein Junk Food, mehr gesunde Gerichte.",Vilken dietplan följer du vanligtvis?,#VALUE!,"Mindre socker, ingen skräpmat, mer hälsosamma rätter.",Kokį dietos planą paprastai laikote?,#VALUE!,"Mažiau cukraus, jokio greito maisto, sveikų patiekalų.",Kādu diētas plānu jūs parasti ievērojat?,#VALUE!,"Mazāks cukurs, bez junk ēdiena, vairāk veselīgu ēdienu."
eating_habits_problems,Have you identified any problems with your eating habits?,,No.,0,diet,,diet,,Haben Sie Probleme mit Ihren Essgewohnheiten identifiziert?,#VALUE!,Nein.,Har du identifierat några problem med dina matvanor?,#VALUE!,Nej.,Ar nustatėte kokių nors savo valgymo įpročių problemų?,#VALUE!,Nr.,Vai esat identificējis kādas problēmas ar ēšanas paradumiem?,#VALUE!,Nē.
eating_habits,How often do you eat? what kind of food do you eat?,,I eat three times a day quite regularly.,0,diet,,diet,,Wie oft isst du? welche Art von Essen isst du?,#VALUE!,Ich esse dreimal am Tag ziemlich regelmäßig.,Hur ofta äter du? Vilken typ av mat äter du?,#VALUE!,Jag äter tre gånger om dagen ganska regelbundet.,Kaip dažnai valgote? Kokį maistą valgote?,#VALUE!,Aš gana reguliariai valgau tris kartus per dieną.,Cik bieži jūs ēdat? Kādu ēdienu jūs ēdat?,#VALUE!,Es diezgan regulāri ēdu trīs reizes dienā.
food_preparation,How is your food prepared?,,"I eat lunch at work, breakfast on the road and dinner at home.",0,diet,,diet,,Wie ist Ihr Essen zubereitet?,#VALUE!,"Ich esse bei der Arbeit zu Mittag, Frühstück auf der Straße und zu Hause zu Abend zu Hause.",Hur är din mat beredd?,#VALUE!,"Jag äter lunch på jobbet, frukost på vägen och middag hemma.",Kaip paruoštas jūsų maistas?,#VALUE!,"Aš valgau pietus darbe, pusryčius kelyje ir vakarienę namuose.",Kā tiek pagatavots jūsu ēdiens?,#VALUE!,"Es ēdu pusdienas darbā, brokastis uz ceļa un vakariņas mājās."
sugary_drinks,Do you drink sugar sweetened drinks?,,"Yes, at work.",0,diet,,diet,,Trinkst du Zucker gesüßte Getränke?,#VALUE!,"Ja, bei der Arbeit.",Dricker du socker sötade drycker?,#VALUE!,"Ja, på jobbet.",Ar geriate cukraus saldintus gėrimus?,#VALUE!,"Taip, darbe.",Vai jūs dzerat cukura saldinātus dzērienus?,#VALUE!,"Jā, darbā."
dietary_restrictions,"Please, do you have any religious or cultural diet requirements?",,I don't eat meat. I'm a vegeterian. ,0,diet,,diet,,Bitte haben Sie religiöse oder kulturelle Ernährungsanforderungen?,#VALUE!,Ich esse kein Fleisch. Ich bin ein Vegeterier.,"Snälla, har du några religiösa eller kulturella dietkrav?",#VALUE!,Jag äter inte kött. Jag är vegeterian.,"Prašau, ar turite kokių nors religinių ar kultūrinių dietos reikalavimų?",#VALUE!,Aš nevalgau mėsos. Aš esu vegeteris.,"Lūdzu, vai jums ir kādas reliģiskas vai kultūras diētas prasības?",#VALUE!,Es neēdu gaļu. Es esmu veģetērietis.
stress,Have you had any stress in the last few days?,,"No, nothing extraordinary.",1,lifestyle,,lifestyle,,Haben Sie in den letzten Tagen einen Stress gehabt?,#VALUE!,"Nein, nichts Außergewöhnliches.",Har du haft någon stress de senaste dagarna?,#VALUE!,"Nej, inget extraordinärt.",Ar per pastarąsias kelias dienas patyrėte stresą?,#VALUE!,"Ne, nieko nepaprasto.",Vai jums pēdējās dienās ir bijis kāds stress?,#VALUE!,"Nē, nekas neparasts."
alcohol,How often do you have alcoholic drinks?,,I don't consume alchohol. Don't like it.,0,lifestyle,,lifestyle,,Wie oft haben Sie alkoholische Getränke?,#VALUE!,Ich verbringe Alchohol nicht. Mag es nicht.,Hur ofta har du alkoholhaltiga drycker?,#VALUE!,Jag konsumerar inte Alchohol. Gillar inte det.,Kaip dažnai turite alkoholinių gėrimų?,#VALUE!,Aš nevartoju alchoholo. Nepatinka.,Cik bieži jums ir alkoholiskie dzērieni?,#VALUE!,Es nelietoju alchohol. Nepatīk.
tobacco,Do you smoke or chew tobacco?,,No.,0,lifestyle,,lifestyle,,Rauchen oder kauen Sie Tabak?,#VALUE!,Nein.,Röker du eller tuggar tobak?,#VALUE!,Nej.,Ar rūkote ar kramto tabaką?,#VALUE!,Nr.,Vai jūs smēķējat vai košļājat tabaku?,#VALUE!,Nē.
children,Do you have children?,,"No, not yet.",0,lifestyle,,lifestyle,,Hast du Kinder?,#VALUE!,Nein noch nicht.,Har du barn?,#VALUE!,Nej inte än.,Ar jūs turite vaikų?,#VALUE!,"Ne, ne dabar.",Vai jums ir bērni?,#VALUE!,"Nē, vēl ne."
work,What is your work?,,I work in a kindergarten as a teacher.,0,lifestyle,,lifestyle,,Was ist deine Arbeit?,#VALUE!,Ich arbeite in einem Kindergarten als Lehrer.,Vad jobbar du med?,#VALUE!,Jag arbetar i en dagis som lärare.,Koks tavo darbas?,#VALUE!,Aš dirbu darželyje kaip mokytojas.,Kāds ir tavs darbs?,#VALUE!,Es strādāju bērnudārzā kā skolotājs.
emergency_contacts,Who should we contact in an emergency?,,"My sister Maria, because my husband is currently in South America on business trip.",0,lifestyle,,lifestyle,,An wen sollten wir uns im Notfall wenden?,#VALUE!,"Meine Schwester Maria, weil mein Mann derzeit auf einer Geschäftsreise in Südamerika ist.",Vem ska vi kontakta i en nödsituation?,#VALUE!,"Min syster Maria, för min man är för närvarande i Sydamerika på affärsresa.",Su kuo turėtume susisiekti ekstremalioje situacijoje?,#VALUE!,"Mano sesuo Maria, nes mano vyras šiuo metu yra Pietų Amerikoje.",Ar ko mums vajadzētu sazināties ārkārtas situācijā?,#VALUE!,"Mana māsa Marija, jo mans vīrs šobrīd ir Dienvidamerikā komandējumā."
physical_activity_advise,Have you been advised to be physically active?,,I read it on the Internet.,0,lifestyle,,lifestyle,,"Wurde Ihnen empfohlen, körperlich aktiv zu sein?",#VALUE!,Ich habe es im Internet gelesen.,Har du uppmanats att vara fysiskt aktiv?,#VALUE!,Jag läste det på internet.,Ar jums buvo patarta būti fiziškai aktyviems?,#VALUE!,Aš perskaičiau tai internete.,Vai jums ir ieteikts būt fiziski aktīvs?,#VALUE!,Es to lasīju internetā.
physical_activity,Do you do sport regularly?,,"Yes, I've been going to the gym twice a week for five years.",0,lifestyle,,lifestyle,,Sport machst du regelmäßig?,#VALUE!,"Ja, ich bin seit fünf Jahren zweimal pro Woche ins Fitnessstudio gegangen.",Gör du sport regelbundet?,#VALUE!,"Ja, jag har gått till gymmet två gånger i veckan i fem år.",Ar sportuojate reguliariai?,#VALUE!,"Taip, aš du kartus per savaitę einu į sporto salę penkerius metus.",Vai jūs regulāri veicat sportu?,#VALUE!,"Jā, piecus gadus es esmu devies uz sporta zāli divreiz nedēļā."
end_scenario,"To continue I will call a doctor and  I need to measure your blood glucose level, which involves taking a very small blood sample from your fingertip. You will experience a sharp scratch when I take the sample, but this should be very brief. ",,"Well, thank you!",0,next_steps,,next_steps,,"Um fortzufahren, rufe ich einen Arzt an und muss Ihren Blutzuckerspiegel messen, bei dem eine sehr kleine Blutprobe von der Fingerspitze entnommen wird. Sie werden einen scharfen Kratzer erleben, wenn ich die Probe nehme, aber dies sollte sehr kurz sein.",#VALUE!,"Nun, danke!","För att fortsätta kommer jag att ringa en läkare och jag måste mäta din blodglukosnivå, vilket innebär att ta ett mycket litet blodprov från fingret. Du kommer att uppleva en skarp repa när jag tar provet, men det borde vara mycket kort.",#VALUE!,Tack!,"Norėdami tęsti, paskambinsiu pas gydytoją ir man reikia išmatuoti jūsų gliukozės kiekį kraujyje, o tai reiškia, kad iš pirštų galiukų reikia paimti labai mažą kraujo mėginį. Kai imu pavyzdį, patirsite aštrų įbrėžimą, tačiau tai turėtų būti labai trumpas.",#VALUE!,"Na, ačiū jums!","Lai turpinātu, es piezvanīšu ārstam, un man ir jānovērtē jūsu glikozes līmenis asinīs, kas ietver ļoti maza asins parauga ņemšanu no pirksta. Kad ņemsit paraugu, jūs piedzīvosit asu skrāpējumu, bet tam vajadzētu būt ļoti īsam.",#VALUE!,Nu paldies!
