Tag,EnglishText,EnglishShort,EnglishAnswer,EnglishAsked,EnglishMissed,MoodChanges,AnimationType,PrerequisiteTag,Topic,InfoTag,Relavance,GermanText,GermanShort,GermanAnswer,GermanAsked,GermanMissed,SwedishText,SwedishShort,SwedishAnswer,SwedishAsked,SwedishMissed,LithuanianText,LithuanianShort,LithuanianAnswer,LithuanianAsked,LithuanianMissed,LatvianText,LatvianShort,LatvianAnswer,LatvianAsked,LatvianMissed
diabetes_type,What type of diabetes do you have?,What type of diabetes?,Type 2,"It is very good that you ask - by doing so, you already pay attention to the differential diagnosis and thus support the doctor's diagnosis. Furthermore, it is important to include the expertise of the patient.",,0,NeutralLegBehind,,diabetes,diabetes_type,1,Welche Art von Diabetes haben Sie?,Welche Art von Diabetes?,Typ 2,"Es ist sehr gut, dass Sie fragen - auf diese Weise achten Sie bereits auf die Differentialdiagnose und unterstützen somit die Diagnose des Arztes. Darüber hinaus ist es wichtig, das Fachwissen des Patienten einzubeziehen.",#VALUE!,Vilken typ av diabetes har du?,Vilken typ av diabetes?,Typ 2,Det är mycket bra att du frågar - genom att göra det är du redan uppmärksam på den differentiella diagnosen och därmed stöder läkarens diagnos. Dessutom är det viktigt att inkludera patientens expertis.,#VALUE!,Kokio tipo diabetą turite?,Kokio tipo diabetas?,2 tipas,"Labai gerai, kad jūs klausiate - tai darydami jau atkreipiate dėmesį į diferencinę diagnozę ir taip palaikote gydytojo diagnozę. Be to, svarbu įtraukti paciento kompetenciją.",#VALUE!,Kāda veida diabēts jums ir?,Kāda veida diabēts?,2. tips,"Ir ļoti labi, ka jūs jautājat - to darot, jūs jau pievēršat uzmanību diferenciāldiagnozei un tādējādi atbalstāt ārsta diagnozi. Turklāt ir svarīgi iekļaut pacienta zināšanas.",#VALUE!
time_of_diagnosis,When were you diagnosed with diabetes?,When where you diagnosed?,"Does it make any sense!? I'm feeling bad, right now! I was 34, if you really want to know it!","For the acute situation, it is not necessary to know how long the patient has had diabetes.",This question is not necessary for the first medical history interview. It is good that you did not select it.,-1,AngryConquistador,diabetes_type,diabetes,diabetes_diagnosis_time,0,Wann wurde bei Ihnen Diabetes diagnostiziert?,Wann wo hast du diagnostiziert?,"Macht es irgendeinen Sinn!? Ich fühle mich gerade schlecht! Ich war 34, wenn du es wirklich wissen willst!","Für die akute Situation ist es nicht notwendig zu wissen, wie lange der Patient Diabetes hatte.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",När diagnostiserades du med diabetes?,När var du diagnostiserat?,"Gör det någon mening!? Jag mår dåligt, just nu! Jag var 34 år, om du verkligen vill veta det!",För den akuta situationen är det inte nödvändigt att veta hur länge patienten har haft diabetes.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kada jums buvo diagnozuotas diabetas?,Kada kur diagnozavote?,"Ar tai turi prasmę!? Šiuo metu jaučiuosi blogai! Man buvo 34 metai, jei tikrai norite tai žinoti!","Dėl ūmios situacijos nebūtina žinoti, kiek laiko pacientas serga cukriniu diabetu.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kad jums tika diagnosticēts diabēts?,Kad kur jūs diagnosticējāt?,"Vai tam nav jēgas!? Es šobrīd jūtos slikti! Man bija 34 gadi, ja jūs patiešām vēlaties to zināt!","Akūtā situācijā nav jāzina, cik ilgi pacientam ir bijis diabēts.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
diabetes_education,Have you ever been instructed how to handle your diabetes?,Have you been instructed?,"Yes, but briefly.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diabetes,,0,"Wurden Sie jemals angewiesen, wie Sie mit Ihrem Diabetes umgehen können?",Wurden Sie angewiesen?,"Ja, aber kurz.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har du någonsin fått instruktioner om hur du hanterar din diabetes?,Har du fått instruktioner?,"Ja, men kort.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Ar jums kada nors buvo nurodyta, kaip susitvarkyti su diabetu?",Ar tau buvo liepta?,"Taip, bet trumpai.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.","Vai jums kādreiz ir norādīts, kā rīkoties ar savu diabētu?",Vai jums ir norādīts?,"Jā, bet īsi.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
pump_usage,Do you use insulin pump?,Do you use insulin pump?,"No, I don't. ","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,insulin,,0,Verwenden Sie Insulinpumpe?,Verwenden Sie Insulinpumpe?,"Nein, ich nicht.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Använder du insulinpump?,Använder du insulinpump?,"Nej, det gör jag inte.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar naudojate insulino siurblį?,Ar naudojate insulino siurblį?,"Ne, aš ne.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs izmantojat insulīna sūkni?,Vai jūs izmantojat insulīna sūkni?,"Nē, man nav.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
insulin_dosage,How is your insulin dosage calculated?,How is dosage calculated?,"Are you joking!? How could I know...it. I feel bad. Help me, please. Or bring a doctor...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,-1,AngryArmsToTheSides,,insulin,,0,#NAME?,Wie wird ihre Insulindosis berechnet?,Machen Sie Witze? Wie konnte ich es wissen ... Ich fühle mich schlecht. Hilf mir bitte. Oder hole einen Arzt.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Hur beräknas din insulindos?,Hur beräknas dosering?,Skojar du!? Hur kunde jag veta ... det. Jag mår dåligt. Snälla hjälp mig. Eller ta med en läkare ...,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kaip apskaičiuojama jūsų insulino dozė?,Kaip apskaičiuojama dozė?,"Ar tu juokauji!? Kaip aš galėjau žinoti ... tai. Jaučiuosi blogai. Padėk man, prašau. Arba atsinešk gydytojui ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kā tiek aprēķināta jūsu insulīna deva?,Kā tiek aprēķināta deva?,Vai jūs jokojat!? Kā es varētu zināt ... to. ES jūtos slikti. Lūdzu palīdzi man. Vai atnest ārstu ...,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
medicines,What medicines have you taken? ,What medicines?,I have forgotten to take insulin.,,,0,NeutralThinking,,diabetes,,1,Welche Medikamente haben Sie eingenommen?,Welche Medikamente?,"Ich habe vergessen, Insulin zu nehmen.",#VALUE!,#VALUE!,Vilka läkemedel har du tagit?,Vilka läkemedel?,Jag har glömt att ta insulin.,#VALUE!,#VALUE!,Kokių vaistų vartojote?,Kokie vaistai?,Aš pamiršau paimti insuliną.,#VALUE!,#VALUE!,Kādas zāles esat lietojis?,Kādas zāles?,Esmu aizmirsis ņemt insulīnu.,#VALUE!,#VALUE!
glucose_monitor,Do you test your blood sugar or have a glucose monitor?,Do you test your blood sugar?,"No, I don't. ",,,0,NeutralLegBehind,,diabetes,,1,Messen Sie Ihren Blutzucker oder haben Sie einen Sensor?,Testen Sie Ihren Blutzucker?,"Nein, ich nicht.",#VALUE!,#VALUE!,Testar du ditt blodsocker eller har en glukosmonitor?,Testar du ditt blodsocker?,"Nej, det gör jag inte.",#VALUE!,#VALUE!,"Ar išbandote cukraus kiekį kraujyje, ar turite gliukozės monitorių?",Ar išbandote cukraus kiekį kraujyje?,"Ne, aš ne.",#VALUE!,#VALUE!,Vai jūs pārbaudāt cukura līmeni asinīs vai jums ir glikozes monitors?,Vai jūs pārbaudāt cukura līmeni asinīs?,"Nē, man nav.",#VALUE!,#VALUE!
urine_test,Do you test your urine?,Do you test your urine?,"No, I don't do it at home. ","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind7,,diabetes,,0,Testen Sie Ihren Urin?,Testen Sie Ihren Urin?,"Nein, ich mache es nicht zu Hause.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Testar du urinen?,Testar du urinen?,"Nej, jag gör det inte hemma.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar išbandote savo šlapimą?,Ar išbandote savo šlapimą?,"Ne, aš to nedarau namuose.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs pārbaudāt savu urīnu?,Vai jūs pārbaudāt savu urīnu?,"Nē, es to nedaru mājās.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
medical_complications,Do you have any complications of diabetes or other medical conditions?,Any complications?,"Yes, I do. Blood pressure. I also have some troubles with my feet.",,,0,NeutralThinking,,diabetes,,1,Haben Sie Komplikationen bei Diabetes oder anderen Erkrankungen?,Irgendwelche Komplikationen?,"Ja, ich will. Blutdruck. Ich habe auch einige Probleme mit meinen Füßen.",#VALUE!,#VALUE!,Har du några komplikationer av diabetes eller andra medicinska tillstånd?,Några komplikationer?,Ja det gör jag. Blodtryck. Jag har också några problem med mina fötter.,#VALUE!,#VALUE!,Ar turite kokių nors diabeto ar kitų sveikatos sutrikimų komplikacijų?,Bet kokios komplikacijos?,"Taip, aš darau. Kraujo spaudimas. Aš taip pat turiu keletą rūpesčių su kojomis.",#VALUE!,#VALUE!,Vai jums ir kādas diabēta vai citu medicīnisku stāvokļu komplikācijas?,Vai ir kādas komplikācijas?,Jā. Asinsspiediens. Man ir arī dažas nepatikšanas ar kājām.,#VALUE!,#VALUE!
other_problems,"Do you have any other problems? Perhaps, eye or dental problems, numbness/pain? How is your heart? Kidney? What about your sexual life?",Other problems?,"Yeah, I feel extremly tired all the time, like I'm exhausted. Nightmares, and I feel my heart like trying to jump out sometimes.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind,,diabetes,,0,"Hast du noch andere Probleme? Vielleicht Augen- oder Zahnprobleme, Taubheit/Schmerz? Wie ist dein Herz? Niere? Was ist mit deinem sexuellen Leben?",Andere Probleme?,"Ja, ich fühle mich die ganze Zeit extrem müde, als wäre ich erschöpft. Albträume, und ich fühle mein Herz wie manchmal, manchmal herauszuspringen.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.","Har du några andra problem? Kanske, ögon- eller tandproblem, domningar/smärta? Hur är ditt hjärta? Njure? Vad sägs om ditt sexuella liv?",Andra problem?,"Ja, jag känner mig extremt trött hela tiden, som om jag är utmattad. Mardrömmar, och jag känner mitt hjärta som att försöka hoppa ut ibland.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,"Ar turite kitų problemų? Galbūt, akių ar dantų problemos, tirpimas/skausmas? Kaip tavo širdis? Inkstas? O kaip tavo seksualinis gyvenimas?",Kitos problemos?,"Taip, aš visą laiką jaučiuosi ypač pavargęs, tarsi esu išsekęs. Košmarai, ir aš jaučiu, kaip mano širdis kartais bando iššokti.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.","Vai jums ir kādas citas problēmas? Varbūt acu vai zobu problēmas, nejutīgums/sāpes? Kā iet tavai sirdij? Nieres? Kā ar tavu seksuālo dzīvi?",Citas problēmas?,"Jā, es visu laiku jūtos ārkārtīgi noguris, tāpat kā esmu izsmelts. Murgi, un es jūtu, kā mana sirds patīk dažreiz mēģināt izlēkt.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
family_history,Is diabetes common in your family?,Family history?,"Yes, my father has it.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind8,,diabetes,,0,Ist Diabetes in Ihrer Familie üblich?,Familiengeschichte?,"Ja, mein Vater hat es.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Är diabetes vanligt i din familj?,Familjehistoria?,"Ja, min far har det.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar diabetas yra būdingas jūsų šeimoje?,Šeimos istorija?,"Taip, mano tėvas tai turi.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai diabēts ir izplatīts jūsu ģimenē?,Ģimenes vēsture?,"Jā, manam tēvam tas ir.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
weight_change,Has your weight changed in the past years?,Weight change?,"Yeah, to be honest, I gained some...","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diet,,0,Hat sich Ihr Gewicht in den letzten Jahren verändert?,Gewichtsänderung?,"Ja, um ehrlich zu sein, ich habe einige gewonnen ...","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Har din vikt förändrats under de senaste åren?,Viktförändring?,"Ja, för att vara ärlig fick jag lite ...",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar jūsų svoris pasikeitė per pastaruosius metus?,Svorio keitimas?,"Taip, jei sąžiningai, aš šiek tiek įgijau ...","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai pēdējos gados jūsu svars ir mainījies?,Svara maiņa?,"Jā, godīgi sakot, es ieguvu dažus ...","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
breakfast,What did you have for breakfast today?,Breakfast,"I had two fried eggs and toasts, and juice. Orange, to be specific. Does it mean anything?","To be able to assess the current situation well, it is important to know what the patient had for breakfast. ","To be able to assess the current situation well, it is important to know what the patient had for breakfast.Please do not forget to ask about it. This will help to speed up the diagnosis.",-1,AngryArmsToTheSides,,diet,,1,Was hatten Sie heute zum Frühstück?,Frühstück,"Ich hatte zwei gebratene Eier und Toast und Saft. Orange, um spezifisch zu sein. Bedeutet es etwas?","Um die aktuelle Situation gut zu beurteilen, ist es wichtig zu wissen, was der Patient zum Frühstück hatte.","Um die aktuelle Situation gut zu beurteilen, ist es wichtig zu wissen, was der Patient zum Frühstück hatte. Bitte vergessen Sie nicht, danach zu fragen. Dies wird dazu beitragen, die Diagnose zu beschleunigen.",Vad hade du till frukost idag?,Frukost,"Jag hade två stekt ägg och rostat bröd och juice. Orange, att vara specifik. Betyder det något?",För att kunna bedöma den nuvarande situationen väl är det viktigt att veta vad patienten hade till frukost.,För att kunna bedöma den nuvarande situationen väl är det viktigt att veta vad patienten hade till frukost. Glöm inte att fråga om det. Detta hjälper till att påskynda diagnosen.,Ką šiandien turėjote pusryčiams?,Pusryčiai,"Turėjau du keptus kiaušinius ir skrebučius bei sultis. Oranžinė, būti konkrečia. Ar tai ką nors reiškia?","Norint gerai įvertinti dabartinę situaciją, svarbu žinoti, ką pacientas turėjo pusryčiams.","Norint gerai įvertinti dabartinę situaciją, svarbu žinoti, ką pacientas turėjo pusryčiams. Nedėkokite apie tai paklausti. Tai padės pagreitinti diagnozę.",Kas jums šodien bija brokastīs?,Brokastis,"Man bija divas ceptas olas un grauzdiņi, kā arī sula. Oranžs, konkrēts. Vai tas kaut ko nozīmē?","Lai labi novērtētu pašreizējo situāciju, ir svarīgi zināt, kas pacientam bija brokastīs.","Lai varētu labi novērtēt pašreizējo situāciju, ir svarīgi zināt, kas pacientam bija brokastīs. Neaizmirstiet par to jautāt. Tas palīdzēs paātrināt diagnozi."
nutritional_recommendations,Are you following any medical nutrition recommendations?,Nutritional recommendations?,"Yes, I am trying to count calories.","For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralLegBehind9,,diet,,0,Verfolgen Sie medizinische Ernährungsempfehlungen?,Ernährungsempfehlungen?,"Ja, ich versuche Kalorien zu zählen.","Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Följer du några medicinska näringsrekommendationer?,Näringsrekommendationer?,"Ja, jag försöker räkna kalorier.",För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Ar laikote kokių nors medicininės mitybos rekomendacijų?,Mitybos rekomendacijos?,"Taip, aš bandau suskaičiuoti kalorijas.","Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Vai jūs sekojat kādiem medicīniskiem uztura ieteikumiem?,Uztura ieteikumi?,"Jā, es cenšos saskaitīt kalorijas.","Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
diet_plan,What diet plan do you typically follow?,Diet plan?,I try not to eat a lot of sugar.,"For the acute situation, this information is not a priority. Only in the case of further treatment or inpatient admission can further discussions be held in this regard. It is good that you did not ask this question in the acute situation.",This question is not necessary for the first medical history interview. It is good that you did not select it.,0,NeutralThinking,,diet,,0,Welchen Diätplan folgen Sie normalerweise?,Diät Plan?,Ich versuche nicht viel Zucker zu essen.,"Für die akute Situation haben diese Informationen keine Priorität. Nur bei weiterer Behandlung oder stationärer Zulassung kann diesbezüglich weitere Diskussionen durchgeführt werden. Es ist gut, dass Sie diese Frage in der akuten Situation nicht gestellt haben.","Diese Frage ist für das erste Interview für Krankengeschichte nicht erforderlich. Es ist gut, dass Sie es nicht ausgewählt haben.",Vilken dietplan följer du vanligtvis?,Dietplan?,Jag försöker att inte äta mycket socker.,För den akuta situationen är denna information inte en prioritering. Endast i fallet med ytterligare behandling eller inpatientinträde kan ytterligare diskussioner hållas i detta avseende. Det är bra att du inte ställde denna fråga i den akuta situationen.,Denna fråga är inte nödvändig för den första medicinska historien. Det är bra att du inte valde det.,Kokį dietos planą paprastai laikote?,Dietos planas?,Stengiuosi nevalgyti daug cukraus.,"Dėl ūmios situacijos ši informacija nėra prioritetas. Tik tolesnio gydymo ar stacionarinio priėmimo atveju gali būti toliau diskutuojamos šiuo atžvilgiu. Gerai, kad jūs neuždavėte šio klausimo ūminėje situacijoje.","Šis klausimas nėra būtinas pirmajam pokalbiui dėl ligos istorijos. Gerai, kad to nepasirinkote.",Kādu diētas plānu jūs parasti ievērojat?,Diētas plāns?,Es cenšos neēst daudz cukura.,"Akūtā situācijā šī informācija nav prioritāte. Tikai turpmākas ārstēšanas vai stacionāras uzņemšanas gadījumā šajā sakarā var turpināt diskusijas. Ir labi, ka jūs neuzdodāt šo jautājumu akūtā situācijā.","Šis jautājums nav nepieciešams pirmajai medicīniskās vēstures intervijai. Ir labi, ka jūs to neizvēlējāties."
